Sample_ID,Date,Location,Species,Gasex_typeOrSequence,Duplicate_flag,Chem_type,Sample_disc_size,Disc_area_cm2,Num_discs,Leaf_area_cm2,FW_g,DW_g,H20_pc,LMA_gDW_m2,SLA_cm2_g,Canopy_position,,,,,
BNL11491,2016-03-14,PA-PNM,CASTEL,Diurnal 6,1,CHN,15,3.431,2,6.861,0.189,0.0733,61.22,106.83,93.61,sunlit,,,,,
BNL11301,2016-03-14,PA-PNM,CASTEL,Diurnal 6,1,CHN,15,3.431,2,6.861,0.169,0.0740,56.21,107.85,92.72,sunlit,,,,,
BNL11309,2016-03-14,PA-PNM,ANTITR,Diurnal 6,1,CHN,15,3.431,2,6.861,0.158,0.0795,49.67,115.89,86.29,sunlit,,,,,
BNL11467,2016-03-14,PA-PNM,ANACEX,Diurnal 6,1,CHN,15,3.431,2,6.861,0.199,0.0810,59.32,117.98,84.76,sunlit,,,,,
BNL11417,2016-03-14,PA-PNM,ALBIAD,Diurnal 6,1,CHN,10,1.539,3,4.618,0.117,0.0627,46.39,135.81,73.63,sunlit,,,,,
BNL11484,2016-03-14,PA-PNM,ANACEX,Diurnal 6,1,CHN,15,3.431,2,6.861,0.177,0.0750,57.61,109.35,91.45,sunlit,,,,,
BNL11488,2016-03-14,PA-PNM,CORDAL,Diurnal 6,1,CHN,15,3.431,2,6.861,0.125,0.0625,50.04,91.02,109.87,sunlit,,,,,
BNL11479,2016-03-14,PA-PNM,FICUIN,Diurnal 6,1,CHN,15,3.431,2,6.861,0.253,0.0976,61.43,142.20,70.32,sunlit,,,,,
BNL11207,2016-03-14,PA-PNM,CORDAL,Diurnal 6,1,CHN,15,3.431,2,6.861,0.154,0.0650,57.81,94.70,105.59,sunlit,,,,,
BNL11487,2016-03-14,PA-PNM,LUEHSE,Diurnal 6,1,CHN,15,3.431,2,6.861,0.213,0.1139,46.51,166.04,60.22,sunlit,,,,,
BNL11354,2016-03-14,PA-PNM,CAL2CA,Diurnal 6,1,CHN,10,1.539,3,4.618,0.109,0.0513,52.98,110.98,90.11,sunlit,,,,,
BNL11400,2016-03-14,PA-PNM,ALBIAD,Diurnal 6,1,CHN,10,1.539,4,6.158,0.110,0.0488,55.61,79.30,126.10,sunlit,,,,,
BNL11307,2016-03-14,PA-PNM,FICUIN,Diurnal 6,1,CHN,15,3.431,2,6.861,0.264,0.0945,64.20,137.73,72.61,sunlit,,,,,
BNL11480,2016-03-14,PA-PNM,CAL2CA,Diurnal 6,1,CHN,15,3.431,2,6.861,0.179,0.0753,57.93,109.76,91.11,sunlit,,,,,
BNL11208,2016-03-15,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,4,13.723,0.367,0.1936,47.25,141.08,70.88,sunlit,,,,,
BNL11305,2016-03-15,PA-PNM,CORDAL,ACi,1,CHN,15,3.431,3,10.292,0.196,0.0983,49.85,95.51,104.70,sunlit,,,,,
BNL11350,2016-03-15,PA-PNM,ALBIAD,ACi,1,CHN,11,1.843,5,9.213,0.107,0.0577,46.07,62.63,159.67,sunlit,,,,,
BNL11351,2016-03-15,PA-PNM,LUEHSE,ACi,1,CHN,15,3.431,3,10.292,0.347,0.1681,51.56,163.33,61.23,sunlit,,,,,
BNL11380,2016-03-15,PA-PNM,CAL2CA,ACi,1,CHN,11,1.843,3,5.528,0.103,0.0408,60.39,73.81,135.48,sunlit,,,,,
BNL11381,2016-03-15,PA-PNM,CORDAL,ACi,1,CHN,11,1.843,3,5.528,0.088,0.0446,49.32,80.69,123.94,sunlit,,,,,
BNL11397,2016-03-15,PA-PNM,CAL2CA,ACi,1,CHN,11,1.843,4,7.370,0.130,0.0594,54.31,80.59,124.08,sunlit,,,,,
BNL11436,2016-03-15,PA-PNM,ALBIAD,ACi,1,CHN,6,0.714,10,7.138,0.111,0.0502,54.77,70.33,142.19,sunlit,,,,,
BNL11501,2016-03-15,PA-PNM,ALBIAD,ACi,1,CHN,9,1.247,5,6.234,0.101,0.0425,57.92,68.17,146.69,sunlit,,,,,
